Ticker,Nombre,Precio,Score,Señal,RSI,SMA20,SMA50,SMA200,ATR,ATR Ratio,Volatilidad Anual,Volumen Actual,Volumen Medio (Mes),Volumen Relativo,Soporte,Resistencia,Stop Loss,Take Profit
CLX,The Clorox Company,127.16,2,SELL,72.65,121.95,111.06,115.73,3.08,0.0242,0.2258,1879500,2257600,0.83,123.36,129.93,123.36,129.93
CL,Colgate-Palmolive Company,99.14,2,SELL,72.6,95.21,86.76,83.82,1.88,0.019,0.2163,6096300,7246361,0.84,96.27,100.67,96.32,100.67
SHW,The Sherwin-Williams Company,362.59,2,SELL,54.04,362.88,348.85,346.4,8.05,0.0222,0.2457,1936000,1880595,1.03,354.49,369.76,354.49,369.76
ROP,"Roper Technologies, Inc.",349.73,2,SELL,45.08,343.59,392.99,484.97,11.01,0.0315,0.251,1344400,2196438,0.61,334.82,359.65,334.82,359.65
CHRW,"C.H. Robinson Worldwide, Inc.",185.25,2,SELL,52.32,188.26,177.58,135.44,7.93,0.0428,0.41,1944900,3436014,0.57,175.26,192.59,175.26,192.59
CHD,"Church & Dwight Co., Inc.",104.86,2,SELL,71.04,101.09,92.79,91.33,2.23,0.0213,0.2266,2271300,2375204,0.96,102.71,106.52,102.71,106.52
CDNS,"Cadence Design Systems, Inc.",301.4,2,SELL,51.48,290.46,306.03,323.84,13.72,0.0455,0.3981,3534500,3413285,1.04,283.81,312.48,283.81,312.48
HSY,The Hershey Company,236.28,2,SELL,74.86,220.82,200.8,181.5,5.74,0.0243,0.2758,2289800,2462780,0.93,224.03,242.66,227.67,242.66
RJF,"Raymond James Financial, Inc.",153.08,2,SELL,38.46,161.54,164.58,160.74,5.0,0.0327,0.2853,1918100,1679666,1.14,149.39,158.81,149.39,158.81
CMCSA,Comcast Corporation,30.96,2,SELL,55.41,31.17,29.31,29.33,0.73,0.0235,0.2558,34864400,31771404,1.1,30.28,31.74,30.28,31.74
RCL,Royal Caribbean Cruises Ltd.,310.96,2,SELL,48.43,324.96,304.03,299.96,13.55,0.0436,0.4878,2986500,2500442,1.19,300.43,321.4,300.43,321.4
QRVO,"Qorvo, Inc.",82.9,2,SELL,50.8,82.5,82.98,85.88,2.36,0.0285,0.4858,1451500,1398100,1.04,80.93,84.78,80.93,84.78
PYPL,"PayPal Holdings, Inc.",46.21,2,SELL,48.43,43.32,52.08,64.87,2.12,0.0459,0.4157,23604000,38152900,0.62,41.66,49.63,43.03,49.63
CRM,"Salesforce, Inc.",194.79,2,SELL,44.28,192.0,225.68,246.61,8.98,0.0461,0.35,16330600,15705419,1.04,179.23,205.7,181.32,205.7
CSCO,"Cisco Systems, Inc.",79.46,2,SELL,51.72,80.31,77.76,70.9,2.22,0.0279,0.2742,27464300,28943580,0.95,77.76,80.35,77.76,80.35
PPL,PPL Corporation,38.98,2,SELL,70.52,36.82,35.97,35.41,0.75,0.0192,0.1808,8689600,12767700,0.68,37.28,39.86,37.86,39.86
PPG,"PPG Industries, Inc.",123.27,2,SELL,54.92,124.9,113.89,107.75,3.01,0.0244,0.2959,1892400,2136795,0.89,120.04,126.83,120.04,126.83
HST,"Host Hotels & Resorts, Inc.",19.59,2,SELL,51.94,19.63,18.82,16.73,0.57,0.029,0.3037,11340200,9533738,1.19,19.16,20.28,19.16,20.28
PKG,Packaging Corporation of America,232.14,2,SELL,52.53,234.76,221.97,205.29,6.52,0.0281,0.2766,1037100,1120071,0.93,222.36,238.1,222.36,238.1
DGX,Quest Diagnostics Incorporated,211.91,2,SELL,71.53,200.58,187.68,180.21,4.63,0.0219,0.2401,1058700,1141942,0.93,204.77,216.28,204.96,216.28
DOW,Dow Inc.,30.73,2,SELL,55.65,30.82,27.47,25.02,1.33,0.0432,0.5168,13290300,14102890,0.94,29.36,31.6,29.36,31.6
PCG,PG&E Corporation,19.0,2,SELL,80.84,17.33,16.31,15.51,0.39,0.0207,0.2811,26572900,22175485,1.2,18.52,19.28,18.52,19.28
CCL,Carnival Corporation & plc,31.55,2,SELL,50.71,32.04,30.85,28.47,1.32,0.0419,0.4948,19938700,21865057,0.91,30.01,33.04,30.01,33.04
BK,The Bank of New York Mellon Corporation,119.1,2,SELL,49.36,120.16,119.16,105.5,3.5,0.0294,0.2442,5822400,3981771,1.46,114.43,123.46,114.43,123.46
C,Citigroup Inc.,110.19,2,SELL,43.27,115.64,116.02,98.15,4.22,0.0383,0.3345,29098900,14793161,1.97,106.13,115.63,106.13,115.63
SO,The Southern Company,97.38,2,SELL,71.08,92.14,88.93,90.0,1.87,0.0193,0.1723,8010100,7531404,1.06,95.0,98.87,95.0,98.87
USB,U.S. Bancorp,54.66,2,SELL,41.72,57.95,55.96,48.51,1.6,0.0293,0.2743,13058400,10819328,1.21,52.88,57.66,52.88,57.66
VNO,Vornado Realty Trust,27.58,2,SELL,34.06,29.81,31.89,36.11,1.17,0.0426,0.3776,2579100,2468542,1.04,26.91,28.79,26.91,28.79
VZ,Verizon Communications Inc.,50.14,2,SELL,72.66,48.02,42.95,41.42,1.02,0.0203,0.2463,34678600,40652676,0.85,49.18,50.79,49.18,50.79
AKAM,"Akamai Technologies, Inc.",98.39,2,SELL,50.04,99.15,94.25,82.53,4.86,0.0494,0.4196,4716100,5006852,0.94,92.75,103.97,92.75,103.97
AJG,Arthur J. Gallagher & Co.,228.2,2,SELL,49.36,224.52,243.61,281.4,7.81,0.0342,0.2792,2959700,3047157,0.97,215.49,234.86,216.48,234.86
WB,Weibo Corporation,9.93,2,SELL,39.06,10.17,10.41,10.51,0.29,0.0294,0.3754,921900,995852,0.93,9.7,10.37,9.7,10.37
WEC,"WEC Energy Group, Inc.",116.96,2,SELL,71.75,113.24,108.8,107.4,1.96,0.0168,0.1601,2392500,2640028,0.91,114.67,118.29,114.67,118.29
WHR,Whirlpool Corporation,68.43,2,SELL,28.9,82.09,79.81,81.2,3.87,0.0565,0.4429,3487800,3063038,1.14,62.39,78.93,62.63,76.16
